term	hit	frequencies	tf_idf
clients service users	0	3	0.129454433
audit manager join	0	3	0.129446217
business role aimed	0	3	0.129446217
household financial services	1	3	0.129446217
interacting senior stakeholders	1	3	0.129446217
47 000 plus	0	3	0.129319831
salary range 27	0	3	0.129319831
basic computer knowledge	1	3	0.129298739
duties requirements prospects	0	3	0.129298739
design engineer electrical	0.5	3	0.129276613
27001 information governance	0.5	3	0.12922658
actively role ideally	0	3	0.12922658
address security vulnerabilities	1	3	0.12922658
advice organisation include	0	3	0.12922658
assurance advice organisation	0	3	0.12922658
audits iso 27001	1	3	0.12922658
coventry warwickshire nhs	0	3	0.12922658
department providing services	0	3	0.12922658
governance liaising technical	0	3	0.12922658
governance role fast	0	3	0.12922658
include input national	0	3	0.12922658
information governance liaising	0.5	3	0.12922658
input national nhs	0	3	0.12922658
internal audits iso	0.5	3	0.12922658
lead offer security	0	3	0.12922658
national nhs data	0	3	0.12922658
new security lead	0	3	0.12922658
nhs partnership trust	0	3	0.12922658
offer security assurance	1	3	0.12922658
organisation complex requirements	1	3	0.12922658
organisation include input	0	3	0.12922658
paced technical department	0	3	0.12922658
partnership trust looking	0	3	0.12922658
pro actively role	0	3	0.12922658
promptly pro actively	0	3	0.12922658
protection toolkit internal	0	3	0.12922658
providing services large	0	3	0.12922658
recruit new security	0	3	0.12922658
remediate address security	0	3	0.12922658
security assurance advice	0.5	3	0.12922658
security lead offer	0.5	3	0.12922658
security vulnerabilities promptly	0.5	3	0.12922658
suit extensive experience	0	3	0.12922658
teams remediate address	0	3	0.12922658
technical department providing	0	3	0.12922658
technical teams remediate	0	3	0.12922658
toolkit internal audits	0.5	3	0.12922658
vulnerabilities promptly pro	0	3	0.12922658
warwickshire nhs partnership	0	3	0.12922658
internally externally line	0	3	0.129102553
centre team leader	0	3	0.12907762
applications spring framework	0.5	3	0.129042677
java applications spring	0.5	3	0.129042677
130 00 day	0	3	0.129037049
dedicated team role	0	3	0.129037049
engineer join hardworking	0	3	0.129037049
important job type	0	3	0.129037049
120 130 day	0	3	0.12900794
supporting large user	0	3	0.128944379
2007 offence apply	0	3	0.128931954
act 2007 offence	0.5	3	0.128931954
additional information click	0	3	0.128931954
adults protection vulnerable	0.5	3	0.128931954
apply barred working	0	3	0.128931954
attachments details post	0	3	0.128931954
click attachments details	0	3	0.128931954
information click attachments	0	3	0.128931954
offence apply barred	0	3	0.128931954
protected adults protection	0.5	3	0.128931954
successful candidate identify	0	3	0.128931954
cloud native architectures	1	3	0.128914899
developing information security	1	3	0.128896669
experience server network	0.5	3	0.12878117
hyperion planning essbase	1	3	0.128780125
20th december 2019	0	3	0.128774266
31 095 00	0	3	0.128774266
immediately fixed term	0	3	0.128774266
salary 31 095	0	3	0.128774266
date training materials	0	3	0.128758119
seeking experienced devops	0.5	3	0.128753337
confidential discussion apply	0	3	0.128677424
infrastructure role responsible	0	3	0.128677424
knowledge ip telephony	0.5	3	0.128677424
senior customer service	0.5	3	0.128596127
data centres networks	0.5	3	0.128585218
manager responsible supervising	0	3	0.128585218
looking step sales	0	3	0.128573732
salary offer region	0	3	0.128573732
sales looking recruit	0	3	0.128573732
west midlands 30	0	3	0.128573732
engineering manager business	0	3	0.128399919
ict customer services	1	3	0.128399484
engineer job based	0	3	0.12835629
job based preston	0	3	0.12835629
real time display	0	3	0.12835629
ct mri ultrasound	0.5	3	0.128288778
based city campus	0	3	0.12825414
knowledge quality standards	0.5	3	0.128246249
150 00 day	0	3	0.128215287
day experience teaching	0	3	0.128215287
desirable essential relevant	0	3	0.128215287
email cv asap	0	3	0.128215287
looking design technology	0	3	0.128215287
salary 120 00	0	3	0.128215287
technology teacher instructor	0.5	3	0.128215287
strong working background	0	3	0.128178546
aws azure public	0.5	3	0.128141744
micro services architectures	1	3	0.128141744
experience beneficial job	0	3	0.128097019
information learning new	0	3	0.128097019
javascript jquery mvc	0.5	3	0.128097019
opportunity junior developer	0	3	0.128097019
products developing new	0	3	0.128097019
skills understand importance	0	3	0.128097019
supporting existing products	0	3	0.128097019
100 150 day	0	3	0.127927158
assessment apprenticeship learners	0	3	0.127927158
standards proven track	0	3	0.127927158
burton nhs foundation	0	3	0.127893201
derby burton nhs	0	3	0.127893201
university hospitals derby	0	3	0.127893201
dhcp 38 000	0	3	0.127836667
dns dhcp 38	0.5	3	0.127836667
support technician wythenshawe	0	3	0.127836667
technician wythenshawe windows	0	3	0.127836667
wythenshawe windows servers	0.5	3	0.127836667
corporate legal team	0.5	3	0.127832767
experience technical experience	0	3	0.127770692
london temporary 12	0	3	0.127770692
temporary 12 hour	0	3	0.127770692
authentication methods saml	1	3	0.127750517
device management enterprise	0.5	3	0.127750517
experience mobile security	0.5	3	0.127750517
good understanding responsibilities	0	3	0.127750517
mdm uem experience	0.5	3	0.127750517
methods saml certificates	0.5	3	0.127750517
mobile hands experience	0	3	0.127750517
responsibilities gdpr iso27k	0.5	3	0.127750517
saml certificates encryption	0.5	3	0.127750517
skills demonstrate attention	0	3	0.127750517
uem experience mobile	0.5	3	0.127750517
understanding responsibilities gdpr	0.5	3	0.127750517
mac os sccm	0.5	3	0.12773983
agency commercial clientside	0	3	0.127700232
agency looking research	0	3	0.127700232
area helpful sector	0	3	0.127700232
background working research	0.5	3	0.127700232
balance competitive pay	0	3	0.127700232
benefits information position	0	3	0.127700232
clients research needs	0.5	3	0.127700232
clientside organisation knowledgeable	0	3	0.127700232
commercial clientside organisation	0	3	0.127700232
competitive pay good	0	3	0.127700232
consultative fashion help	0	3	0.127700232
consultative research agency	0	3	0.127700232
deliver results help	0	3	0.127700232
developing area helpful	0	3	0.127700232
emphasis ad hoc	0	3	0.127700232
experience developing area	0	3	0.127700232
fashion help deliver	0	3	0.127700232
findings ideally background	0	3	0.127700232
gaming emphasis ad	0	3	0.127700232
good benefits information	0	3	0.127700232
help deliver results	0	3	0.127700232
help implement findings	0	3	0.127700232
helpful sector mix	0	3	0.127700232
hoc projects tracking	0	3	0.127700232
ideally background working	0	3	0.127700232
implement findings ideally	0	3	0.127700232
knowledgeable quantitative research	0.5	3	0.127700232
looking research manager	0.5	3	0.127700232
media technology gaming	0.5	3	0.127700232
methodologies line management	0	3	0.127700232
mix media technology	0.5	3	0.127700232
needs consultative fashion	0	3	0.127700232
organisation knowledgeable quantitative	0	3	0.127700232
pay good benefits	0	3	0.127700232
position apply view	0	3	0.127700232
projects tracking return	0	3	0.127700232
receive genuine work	0	3	0.127700232
research agency commercial	0	3	0.127700232
research agency looking	0	3	0.127700232
research methodologies line	0	3	0.127700232
research needs consultative	0	3	0.127700232
results help implement	0	3	0.127700232
return receive genuine	0	3	0.127700232
sector mix media	0	3	0.127700232
technology gaming emphasis	0	3	0.127700232
tracking return receive	0	3	0.127700232
working clients research	0	3	0.127700232
working research agency	0	3	0.127700232
sental uk ensure	0	3	0.127682386
garden city hertfordshire	0	3	0.127649757
lead mechanical engineer	0.5	3	0.12749415
based basildon essex	0	3	0.127488116
join team engineers	0	3	0.127488116
keys unix accounts	0	3	0.127461962
commercial finance team	0	3	0.127453073
finance team leader	0.5	3	0.127453073
cloud based telephone	1	3	0.127400807
mod sc security	0.5	3	0.127391182
windows servers 2008	1	3	0.127305647
body worn video	0.5	3	0.127173766
good knowledge range	0	3	0.127173766
support engineer needed	0	3	0.127173766
support environment ideally	0	3	0.127173766
support workstations laptops	0.5	3	0.127173766
career cloud technologies	0.5	3	0.127148232
data different levels	0	3	0.127116202
research computing services	0	3	0.127071596
controls data analytics	0.5	3	0.127025994
macos mac osx	1	3	0.127008014
charity non profit	0	3	0.127007737
additional lawyer join	0	3	0.126938751
direct line group	0	3	0.12683693
10 build deployment	0	3	0.126820439
build deployment experience	0.5	3	0.126820439
ongoing project work	0	3	0.126820439
role support ongoing	0	3	0.126820439
